Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report,Operational_Hours_Est,Expected_Lifespan_Est,MTBF,Cost_Per_Hour,Lifespan_Usage_Ratio,Risk_Class,Risk_Class_Label
MD01215,Defibrillator,2018-09-14,7,ScanPro,Model-150,France,3227.752741036572,1.985457913689108,3,2,1,voltage spike caused operational delay; inspection initiated. quick fix low priority fault,61320,12,30660.0,0.05263784639655206,0.5833333333333334,Medium Risk,1
MD04973,Infusion Pump,2017-02-04,8,UltraMed,Model-550,Canada,4312.01152140355,1.3489122884749107,2,6,1,circuit failure caused operational delay; firmware update initiated. log cleaned temporary glitch,70080,12,11680.0,0.06152984476888628,0.6666666666666666,Medium Risk,1
MD03055,X-Ray Machine,2018-08-29,7,MedEquip,Model-450,Japan,14086.92342673666,8.03240349334829,4,1,3,Routine check completed; sensor misalignment observed during diagnostics. critical failure urgent inspection needed,61320,12,61320.0,0.22972804022727755,0.5833333333333334,Medium Risk,1
MD04970,CT Scanner,2016-02-28,9,ScanPro,Model-600,France,4293.662558742555,1.8740386580859127,2,4,1,Component recalibration after detecting overheating; functionality restored. software reset quick fix,78840,12,19710.0,0.05446045863448193,0.75,Medium Risk,1
MD00875,Infusion Pump,2023-06-09,2,RescueTech,Model-150,France,5970.685199377886,8.060525817879967,3,6,1,System performance degraded due to abnormal sound; mitigation via system reset. log cleaned temporary glitch,17520,12,2920.0,0.3407925342110666,0.16666666666666666,Medium Risk,1
MD01103,PET Scanner,2023-09-05,2,CardioSync,Model-100,Japan,6096.178997657795,15.233687140505449,1,3,3,software crash caused operational delay; software patch initiated. sensor replaced hardware fault,17520,12,5840.0,0.3479554222407417,0.16666666666666666,Medium Risk,1
MD01087,Defibrillator,2017-12-28,8,RescueTech,Model-450,Italy,7327.312595972605,8.875251912008707,4,1,1,Routine check completed; abnormal sound observed during diagnostics. minor issue low priority fault,70080,12,70080.0,0.10455640119823922,0.6666666666666666,Medium Risk,1
MD02218,PET Scanner,2017-06-06,8,RescueTech,Model-450,France,4886.093492733723,8.408252346531127,3,1,1,System performance degraded due to software crash; mitigation via replacement. software reset log file cleared,70080,12,70080.0,0.06972165372051545,0.6666666666666666,Medium Risk,1
MD02470,X-Ray Machine,2015-07-28,10,CardioSync,Model-100,USA,6812.954776135197,10.894606830444909,2,0,1,voltage spike caused operational delay; inspection initiated. minor issue stable condition,87600,12,26280.0,0.07777345634857531,0.8333333333333334,Low Risk,0
MD01526,Infusion Pump,2014-04-13,11,ImagingTech,Model-650,UK,6215.336684253508,7.481187431088105,2,1,1,System performance degraded due to voltage spike; mitigation via system reset. quick fix log file cleared,96360,12,96360.0,0.06450121092002395,0.9166666666666666,Medium Risk,1
MD02916,Defibrillator,2023-02-11,2,ScanPro,Model-400,France,1719.266760168215,4.213461189030655,2,1,1,Routine check completed; software crash observed during diagnostics. software reset system check passed,17520,12,17520.0,0.09813166439316295,0.16666666666666666,Medium Risk,1
MD03720,X-Ray Machine,2022-02-25,3,UltraMed,Model-500,Italy,7795.895133865077,4.000932924552339,2,1,1,Routine check completed; abnormal sound observed during diagnostics. log cleaned minor issue,26280,12,26280.0,0.296647455626525,0.25,Medium Risk,1
MD02925,Defibrillator,2023-04-13,2,CardioSync,Model-450,Italy,2152.4747298135094,13.17327175111761,3,4,2,Routine check completed; sensor misalignment observed during diagnostics. component issue component review,17520,12,4380.0,0.12285814667885328,0.16666666666666666,Medium Risk,1
MD03388,PET Scanner,2019-12-30,6,ImagingTech,Model-100,France,11373.18802575138,9.143138556346036,1,2,2,Routine check completed; battery wear observed during diagnostics. component issue non-critical warning,52560,12,26280.0,0.2163848558932911,0.5,Medium Risk,1
MD05481,PET Scanner,2016-10-02,9,MedEquip,Model-250,Canada,6493.840606020618,7.3672642800643855,2,3,1,overheating caused operational delay; replacement initiated. quick fix stable condition,78840,12,26280.0,0.08236733391705502,0.75,Medium Risk,1
MD04893,X-Ray Machine,2021-08-25,4,ScanPro,Model-450,Canada,15145.508258868304,13.201244445175467,4,1,3,Routine check completed; sensor misalignment observed during diagnostics. reboot failed urgent inspection needed,35040,12,35040.0,0.43223482473939223,0.3333333333333333,Medium Risk,1
MD00760,Infusion Pump,2018-08-08,7,MedEquip,Model-400,UK,3338.00879471796,8.353079442508895,5,1,3,sensor misalignment caused operational delay; replacement initiated. sensor replaced sensor replacement,61320,12,61320.0,0.05443589032481996,0.5833333333333334,Medium Risk,1
MD02822,MRI Scanner,2019-10-14,6,ScanPro,Model-250,France,14131.244163325728,2.426710568162311,5,1,2,Component inspection after detecting circuit failure; functionality restored. reviewed logs non-critical warning,52560,12,52560.0,0.26885928773450773,0.5,Medium Risk,1
MD01974,X-Ray Machine,2016-04-12,9,ImagingTech,Model-350,UK,23382.11936178163,5.492357741116414,1,0,3,overheating caused operational delay; software patch initiated. sensor replaced critical failure,78840,12,26280.0,0.29657685644065995,0.75,Low Risk,0
MD01251,X-Ray Machine,2015-05-26,10,ImagingTech,Model-550,Italy,2016.8437303121104,3.832560067998647,2,1,2,Routine check completed; circuit failure observed during diagnostics. driver update average severity report,87600,12,87600.0,0.023023330254704457,0.8333333333333334,Medium Risk,1
MD01934,MRI Scanner,2017-08-07,8,MedEquip,Model-400,Canada,16916.293249951577,26.365675186393787,3,2,3,Routine check completed; abnormal sound observed during diagnostics. critical failure system crash,70080,12,35040.0,0.24138546304154648,0.6666666666666666,Medium Risk,1
MD03664,CT Scanner,2023-04-17,2,ImagingTech,Model-250,Japan,13689.215066756333,7.551035977269444,2,0,3,System performance degraded due to software crash; mitigation via software patch. critical failure sensor replacement,17520,12,26280.0,0.7813478919381468,0.16666666666666666,Low Risk,0
MD03879,CT Scanner,2023-03-14,2,UltraMed,Model-550,UK,4766.146903213029,3.570759858786596,3,1,2,battery wear caused operational delay; system reset initiated. component issue moderate delay,17520,12,17520.0,0.27204034835690805,0.16666666666666666,Medium Risk,1
MD00866,X-Ray Machine,2013-08-19,12,CardioSync,Model-350,Canada,2822.271472575234,6.331224727298017,4,1,1,software crash caused operational delay; component upgrade initiated. software reset low priority fault,105120,12,105120.0,0.02684809239512209,1.0,Medium Risk,1
MD01491,MRI Scanner,2021-12-12,4,RescueTech,Model-450,Italy,6178.945848745482,3.236047599025329,1,1,1,System performance degraded due to abnormal sound; mitigation via firmware update. minor issue log file cleared,35040,12,35040.0,0.17633977878839846,0.3333333333333333,Medium Risk,1
MD00480,MRI Scanner,2014-07-02,11,CardioSync,Model-200,USA,4250.403515707106,4.719825567572136,1,1,1,System performance degraded due to voltage spike; mitigation via firmware update. minor issue minor issue,96360,12,96360.0,0.044109625526225674,0.9166666666666666,Medium Risk,1
MD03741,Infusion Pump,2018-12-15,7,MedEquip,Model-600,UK,2187.6605253452403,13.783585900922716,1,1,2,data lag caused operational delay; replacement initiated. component issue driver update applied,61320,12,61320.0,0.03567613381189237,0.5833333333333334,Medium Risk,1
MD04270,Infusion Pump,2015-06-25,10,ScanPro,Model-500,UK,3879.661386363239,7.331873519540688,1,6,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay performance warning,87600,12,14600.0,0.04428837199044794,0.8333333333333334,Medium Risk,1
MD05305,Infusion Pump,2021-03-29,4,ScanPro,Model-550,Japan,10161.541698458828,7.917273300862504,5,1,2,Component replacement after detecting battery wear; functionality restored. driver update performance warning,35040,12,35040.0,0.2899983361432314,0.3333333333333333,Medium Risk,1
MD04554,Defibrillator,2019-01-02,6,UltraMed,Model-600,Italy,2448.351450135515,26.686773299388207,5,3,3,battery wear caused operational delay; recalibration initiated. critical failure critical failure,52560,12,17520.0,0.04658202911216733,0.5,Medium Risk,1
MD00430,Defibrillator,2016-03-23,9,ImagingTech,Model-250,Canada,4188.039355590178,2.144952801593365,1,3,1,battery wear caused operational delay; firmware update initiated. software reset log file cleared,78840,12,26280.0,0.053120742714233615,0.75,Medium Risk,1
MD01156,Infusion Pump,2023-04-21,2,ImagingTech,Model-150,France,4419.909659088393,8.830708095265503,4,2,1,Component replacement after detecting voltage spike; functionality restored. minor issue temporary glitch,17520,12,8760.0,0.2522779485781046,0.16666666666666666,Medium Risk,1
MD03378,X-Ray Machine,2015-04-06,10,RescueTech,Model-300,USA,14118.49393246357,11.567332575568832,3,2,3,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash,87600,12,43800.0,0.16117002206008643,0.8333333333333334,Medium Risk,1
MD05233,Infusion Pump,2020-01-27,5,RescueTech,Model-500,Japan,4367.170321558245,5.489516321660774,2,5,1,System performance degraded due to data lag; mitigation via system reset. software reset low priority fault,43800,12,8760.0,0.0997070849670832,0.4166666666666667,Medium Risk,1
MD01496,Infusion Pump,2023-10-15,2,UltraMed,Model-450,Canada,23382.11936178163,23.905222435527588,2,2,3,System performance degraded due to voltage spike; mitigation via replacement. reboot failed critical malfunction,17520,12,8760.0,1.3345958539829699,0.16666666666666666,High Risk,2
MD03382,CT Scanner,2019-07-15,6,UltraMed,Model-650,Canada,1358.021833089199,4.679732829547163,3,1,1,Component firmware update after detecting sensor misalignment; functionality restored. quick fix log file cleared,52560,12,52560.0,0.0258375539020015,0.5,Medium Risk,1
MD02276,MRI Scanner,2018-12-23,7,RescueTech,Model-150,USA,2436.5681384018267,4.505806784564164,5,2,1,voltage spike caused operational delay; software patch initiated. log cleaned log file cleared,61320,12,30660.0,0.03973529253753794,0.5833333333333334,Medium Risk,1
MD04343,X-Ray Machine,2023-05-02,2,ImagingTech,Model-650,Italy,6492.708759312389,2.4535372571874654,1,2,1,System performance degraded due to circuit failure; mitigation via software patch. log cleaned stable condition,17520,12,8760.0,0.3705883995041318,0.16666666666666666,Medium Risk,1
MD00138,X-Ray Machine,2016-10-27,9,ImagingTech,Model-250,UK,7558.269074891674,9.319317840888406,4,1,1,System performance degraded due to battery wear; mitigation via system reset. quick fix low priority fault,78840,12,78840.0,0.09586845604885431,0.75,Medium Risk,1
MD05344,PET Scanner,2015-10-14,10,RescueTech,Model-250,France,-3925.998613777928,14.81842451542197,5,4,2,Routine check completed; overheating observed during diagnostics. moderate delay average severity report,87600,12,21900.0,-0.044817335773720636,0.8333333333333334,Medium Risk,1
MD03351,Defibrillator,2019-05-08,6,RescueTech,Model-550,Italy,19431.51292230199,13.33482874597817,1,1,3,System performance degraded due to circuit failure; mitigation via inspection. critical failure hardware fault,52560,12,52560.0,0.36970153961761776,0.5,Medium Risk,1
MD05448,CT Scanner,2014-03-18,11,MedEquip,Model-500,France,4769.272971023088,4.444543189084446,1,1,1,sensor misalignment caused operational delay; component upgrade initiated. software reset system check passed,96360,12,96360.0,0.04949432306997808,0.9166666666666666,Medium Risk,1
MD04171,CT Scanner,2016-03-25,9,RescueTech,Model-600,Italy,7409.761716860064,4.868275801444862,5,1,1,Routine check completed; circuit failure observed during diagnostics. minor issue stable condition,78840,12,78840.0,0.09398480107635798,0.75,Medium Risk,1
MD01107,X-Ray Machine,2017-03-16,8,RescueTech,Model-100,Japan,3317.8227464097845,2.7382568909606344,1,1,1,Component software patch after detecting abnormal sound; functionality restored. software reset stable condition,70080,12,70080.0,0.04734336110744555,0.6666666666666666,Medium Risk,1
MD03601,CT Scanner,2016-02-19,9,ScanPro,Model-100,UK,8353.801795701629,15.544314489840046,2,0,2,software crash caused operational delay; component upgrade initiated. reviewed logs performance warning,78840,12,26280.0,0.10595892688611909,0.75,Low Risk,0
MD03042,Infusion Pump,2018-03-23,7,ImagingTech,Model-250,UK,17861.013196617612,19.357383129493453,4,1,3,Component replacement after detecting abnormal sound; functionality restored. sensor replaced urgent inspection needed,61320,12,61320.0,0.2912754924432096,0.5833333333333334,Medium Risk,1
MD05197,PET Scanner,2016-04-24,9,UltraMed,Model-200,Japan,5652.16312194349,12.489666858814031,2,1,2,software crash caused operational delay; recalibration initiated. moderate delay average severity report,78840,12,78840.0,0.0716915667420534,0.75,Medium Risk,1
MD04276,Infusion Pump,2020-03-26,5,CardioSync,Model-400,Japan,1892.443132040808,2.891648163269434,1,3,1,System performance degraded due to software crash; mitigation via inspection. quick fix quick fix,43800,12,14600.0,0.04320646420184493,0.4166666666666667,Medium Risk,1
MD04582,PET Scanner,2014-01-20,11,ImagingTech,Model-250,UK,510.00212166954736,7.015308431713838,2,3,2,Routine check completed; overheating observed during diagnostics. reviewed logs non-critical warning,96360,12,32120.0,0.005292674571082891,0.9166666666666666,Medium Risk,1
MD00183,Infusion Pump,2020-01-16,5,ScanPro,Model-400,Canada,23382.11936178163,13.90981385367736,5,2,3,Component component upgrade after detecting overheating; functionality restored. data loss critical failure,43800,12,21900.0,0.5338383415931879,0.4166666666666667,High Risk,2
MD01874,X-Ray Machine,2013-06-25,12,MedEquip,Model-550,UK,16090.559286024452,4.247012900943547,3,2,2,Component software patch after detecting overheating; functionality restored. reviewed logs component review,105120,12,52560.0,0.1530684863586801,1.0,Medium Risk,1
MD02291,PET Scanner,2022-09-13,3,CardioSync,Model-200,Italy,13461.301051583214,5.244816011342574,1,2,3,Routine check completed; battery wear observed during diagnostics. reboot failed sensor replacement,26280,12,13140.0,0.5122260674118422,0.25,High Risk,2
MD01473,Defibrillator,2021-05-17,4,MedEquip,Model-500,UK,17732.039201073338,27.724552438348624,2,0,3,System performance degraded due to sensor misalignment; mitigation via system reset. data loss emergency shutdown,35040,12,26280.0,0.5060513470625952,0.3333333333333333,Low Risk,0
MD04436,PET Scanner,2015-10-04,10,ImagingTech,Model-300,USA,20652.632777956256,9.714373158153888,5,3,3,Component replacement after detecting overheating; functionality restored. data loss system crash,87600,12,29200.0,0.23576064815018558,0.8333333333333334,Medium Risk,1
MD02029,MRI Scanner,2016-05-08,9,CardioSync,Model-150,France,19527.35367964784,4.370314837145179,3,3,3,abnormal sound caused operational delay; inspection initiated. reboot failed high priority failure,78840,12,26280.0,0.24768332927001319,0.75,Medium Risk,1
MD01834,Defibrillator,2016-12-10,9,UltraMed,Model-400,USA,4245.247467883983,6.902138614232197,4,1,2,System performance degraded due to software crash; mitigation via recalibration. driver update driver update applied,78840,12,78840.0,0.053846365650481766,0.75,Medium Risk,1
MD01890,X-Ray Machine,2019-02-10,6,ScanPro,Model-200,Canada,7413.156979959484,12.23883290993226,5,4,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs non-critical warning,52560,12,13140.0,0.14104179946650464,0.5,Medium Risk,1
MD00766,MRI Scanner,2019-10-14,6,ImagingTech,Model-150,Canada,2733.610608245419,12.500452858050728,3,2,2,Routine check completed; abnormal sound observed during diagnostics. driver update performance warning,52560,12,26280.0,0.052009334251244654,0.5,Medium Risk,1
MD00060,CT Scanner,2019-11-03,6,CardioSync,Model-500,Italy,8832.886301916946,15.07082958069322,2,2,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs moderate delay,52560,12,26280.0,0.16805339235001798,0.5,Medium Risk,1
MD04497,Infusion Pump,2020-07-05,5,UltraMed,Model-150,USA,5441.773806805362,7.31432707815111,4,5,1,System performance degraded due to sensor misalignment; mitigation via firmware update. log cleaned temporary glitch,43800,12,8760.0,0.12424141111427768,0.4166666666666667,Medium Risk,1
MD00218,PET Scanner,2020-12-14,5,RescueTech,Model-200,UK,14486.440808659385,6.0952908137189965,4,2,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay device required inspection,43800,12,21900.0,0.33074065773194944,0.4166666666666667,High Risk,2
MD00605,X-Ray Machine,2014-08-09,11,RescueTech,Model-200,Japan,18630.973613076287,9.437645967181853,2,1,3,Routine check completed; software crash observed during diagnostics. data loss critical failure,96360,12,96360.0,0.1933475883465783,0.9166666666666666,Medium Risk,1
MD03054,CT Scanner,2013-10-02,12,UltraMed,Model-200,Japan,5910.5701703758,4.624923921996813,5,3,2,System performance degraded due to voltage spike; mitigation via firmware update. component issue moderate delay,105120,12,35040.0,0.056226885182418196,1.0,Medium Risk,1
MD02772,MRI Scanner,2023-10-04,2,ImagingTech,Model-200,USA,9924.393157406495,13.23619850899147,1,2,3,Routine check completed; abnormal sound observed during diagnostics. reboot failed emergency shutdown,17520,12,8760.0,0.5664607966556219,0.16666666666666666,Medium Risk,1
MD00245,PET Scanner,2024-01-03,1,ImagingTech,Model-500,Canada,18553.648080811523,17.214934402027207,5,5,3,System performance degraded due to overheating; mitigation via inspection. data loss critical malfunction,8760,12,1752.0,2.117996356257023,0.08333333333333333,High Risk,2
MD04295,CT Scanner,2017-04-03,8,CardioSync,Model-350,France,11441.436912445062,17.658762635698253,5,0,2,Routine check completed; abnormal sound observed during diagnostics. moderate delay moderate delay,70080,12,26280.0,0.1632625130200494,0.6666666666666666,Low Risk,0
MD01690,Defibrillator,2021-02-20,4,UltraMed,Model-400,USA,3834.5152259607103,2.119638238187733,2,3,1,Routine check completed; voltage spike observed during diagnostics. minor issue system check passed,35040,12,11680.0,0.10943251215641296,0.3333333333333333,Medium Risk,1
MD01338,MRI Scanner,2022-06-22,3,RescueTech,Model-250,Japan,2099.915183963173,3.1466298224970086,1,3,1,Routine check completed; software crash observed during diagnostics. quick fix quick fix,26280,12,8760.0,0.07990544840042516,0.25,Medium Risk,1
MD01833,X-Ray Machine,2021-12-29,4,CardioSync,Model-300,Italy,11706.28429749316,8.686603367872486,1,3,2,Component system reset after detecting abnormal sound; functionality restored. driver update average severity report,35040,12,11680.0,0.33408345597868605,0.3333333333333333,High Risk,2
MD00178,Infusion Pump,2022-09-20,3,ScanPro,Model-500,UK,3530.977390148654,5.054603271379736,2,1,1,circuit failure caused operational delay; firmware update initiated. software reset log file cleared,26280,12,26280.0,0.13435987024918775,0.25,Medium Risk,1
MD04233,X-Ray Machine,2022-12-22,3,CardioSync,Model-200,USA,9655.831262184523,4.111797169002137,3,2,2,circuit failure caused operational delay; inspection initiated. driver update moderate delay,26280,12,13140.0,0.3674212809050427,0.25,Medium Risk,1
MD00287,PET Scanner,2022-08-27,3,MedEquip,Model-150,Canada,13014.2437740747,18.46320042617841,3,1,2,System performance degraded due to sensor misalignment; mitigation via software patch. component issue device required inspection,26280,12,26280.0,0.4952147554822945,0.25,Medium Risk,1
MD03920,Defibrillator,2023-03-13,2,MedEquip,Model-150,Japan,4975.743137172629,5.2644574592470175,5,4,1,System performance degraded due to data lag; mitigation via recalibration. log cleaned minor issue,17520,12,4380.0,0.2840036037198989,0.16666666666666666,Medium Risk,1
MD01400,Infusion Pump,2019-10-10,6,ImagingTech,Model-200,Canada,9745.862333542971,5.823517041383341,4,5,1,sensor misalignment caused operational delay; inspection initiated. log cleaned stable condition,52560,12,10512.0,0.18542356037943247,0.5,Medium Risk,1
MD04874,Infusion Pump,2023-09-05,2,MedEquip,Model-550,France,3400.271787018808,11.678250263374434,3,1,1,Routine check completed; circuit failure observed during diagnostics. quick fix routine reset,17520,12,17520.0,0.1940794398983338,0.16666666666666666,Medium Risk,1
MD00989,X-Ray Machine,2017-10-30,8,RescueTech,Model-300,Japan,7029.199836866744,6.475137847395411,5,2,1,Routine check completed; voltage spike observed during diagnostics. log cleaned minor issue,70080,12,35040.0,0.10030250908771038,0.6666666666666666,Medium Risk,1
MD00234,Defibrillator,2015-09-30,10,ImagingTech,Model-200,Canada,4231.06330684427,4.669164075394578,2,2,1,Component software patch after detecting software crash; functionality restored. minor issue log file cleared,87600,12,43800.0,0.048299809438861536,0.8333333333333334,Medium Risk,1
MD04692,PET Scanner,2015-01-04,10,MedEquip,Model-550,France,6516.829342961068,4.435253785643978,1,0,1,data lag caused operational delay; system reset initiated. minor issue system check passed,87600,12,26280.0,0.07439302902923593,0.8333333333333334,Low Risk,0
MD00009,MRI Scanner,2017-07-27,8,RescueTech,Model-500,Italy,8474.905711390164,14.769456646545242,3,4,2,Component recalibration after detecting voltage spike; functionality restored. driver update performance warning,70080,12,17520.0,0.12093187373559024,0.6666666666666666,Medium Risk,1
MD01952,MRI Scanner,2023-09-27,2,MedEquip,Model-500,Italy,4275.745641351639,7.387593927441959,1,4,1,System performance degraded due to sensor misalignment; mitigation via inspection. minor issue stable condition,17520,12,4380.0,0.24404940875294745,0.16666666666666666,Medium Risk,1
MD01284,Infusion Pump,2017-06-12,8,UltraMed,Model-100,France,15205.128498654318,4.584952279156318,2,3,2,Component component upgrade after detecting data lag; functionality restored. driver update driver update applied,70080,12,23360.0,0.2169681578004326,0.6666666666666666,Medium Risk,1
MD00450,Infusion Pump,2017-10-24,8,MedEquip,Model-500,Italy,10288.791512084112,12.097617293020004,4,1,2,Routine check completed; abnormal sound observed during diagnostics. component issue non-critical warning,70080,12,70080.0,0.14681494737562945,0.6666666666666666,Medium Risk,1
MD00212,Infusion Pump,2016-06-28,9,ImagingTech,Model-500,UK,6249.239709045754,5.646882008942401,5,3,1,Component firmware update after detecting battery wear; functionality restored. minor issue temporary glitch,78840,12,26280.0,0.07926483649220896,0.75,Medium Risk,1
MD02377,Infusion Pump,2023-12-25,2,ImagingTech,Model-300,UK,4098.605690034778,10.991715692900325,1,0,2,Routine check completed; voltage spike observed during diagnostics. component issue non-critical warning,17520,12,26280.0,0.23393868093805809,0.16666666666666666,Low Risk,0
MD01684,MRI Scanner,2021-02-13,4,UltraMed,Model-350,UK,4913.91106045171,6.908476771462912,2,2,3,abnormal sound caused operational delay; component upgrade initiated. reboot failed urgent inspection needed,35040,12,17520.0,0.1402371877982794,0.3333333333333333,Medium Risk,1
MD02500,MRI Scanner,2015-11-07,10,UltraMed,Model-100,Canada,12393.124903625909,18.95456728975689,5,0,3,Component system reset after detecting software crash; functionality restored. sensor replaced critical malfunction,87600,12,26280.0,0.14147402858020444,0.8333333333333334,Low Risk,0
MD01565,CT Scanner,2015-05-26,10,ScanPro,Model-250,Italy,6751.954261724497,5.528615811708443,4,0,1,Component inspection after detecting battery wear; functionality restored. quick fix system check passed,87600,12,26280.0,0.07707710344434357,0.8333333333333334,Low Risk,0
MD00214,MRI Scanner,2022-06-12,3,ImagingTech,Model-550,Canada,11559.92419990774,13.35587294235042,2,3,2,Component replacement after detecting circuit failure; functionality restored. driver update device required inspection,26280,12,8760.0,0.4398753500725929,0.25,High Risk,2
MD03098,Defibrillator,2015-04-20,10,RescueTech,Model-600,Italy,14316.765439047587,19.030904422626605,1,3,3,Component firmware update after detecting data lag; functionality restored. critical failure critical failure,87600,12,29200.0,0.16343339542291765,0.8333333333333334,Medium Risk,1
MD03485,PET Scanner,2014-10-02,11,ImagingTech,Model-100,USA,7010.051719549312,8.160569221013757,1,1,2,System performance degraded due to data lag; mitigation via inspection. component issue moderate delay,96360,12,96360.0,0.07274856496003852,0.9166666666666666,Medium Risk,1
MD05346,Infusion Pump,2017-01-05,8,UltraMed,Model-650,Canada,3511.8436836145897,2.7057317077424674,1,1,2,Component replacement after detecting circuit failure; functionality restored. moderate delay non-critical warning,70080,12,70080.0,0.0501119247091123,0.6666666666666666,Medium Risk,1
MD00106,Infusion Pump,2017-04-05,8,CardioSync,Model-200,France,4340.952242791129,5.264835076525357,1,1,1,Component firmware update after detecting battery wear; functionality restored. software reset minor issue,70080,12,70080.0,0.06194281168366337,0.6666666666666666,Medium Risk,1
MD00651,MRI Scanner,2017-06-26,8,CardioSync,Model-600,Japan,2994.069640722346,2.852084980839906,5,1,1,Component software patch after detecting battery wear; functionality restored. software reset quick fix,70080,12,70080.0,0.04272359647149466,0.6666666666666666,Medium Risk,1
MD02684,PET Scanner,2016-02-02,9,CardioSync,Model-250,UK,16712.04742664526,23.25761335803812,3,0,3,Routine check completed; data lag observed during diagnostics. sensor replaced urgent inspection needed,78840,12,26280.0,0.21197421900869176,0.75,Low Risk,0
